Symbol,Metric,PrevDay,PrevDay2,PrevLastHr,DelivPct,DelivPctPrev,Open,dTC,dBC,wTC,wBC,09:20,09:30,09:50,10:10,10:20,10:30,10:50,11:00,11:10,11:20,11:40,12:00,12:20,12:30,12:50,13:00,13:20,13:30,13:50,14:00,14:20,14:30
ABB,PUT OI,5488,5488,,,,,,,,,5565,5565,5565,5565,5565,5565,5565,5565,5565,5565,5565,5565,5565,5565,5565,5565,5565,5565,5565,5565,5565,5565
ABCAPITAL,PRICE,395.0,400.0,,,,,394.53,393.6,402.02,396.25,395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0
ABCAPITAL,VWAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCAPITAL,CASH VOL,1630117,1395209,400624,44.2,47.99,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCAPITAL,F&O VOL,11344,4134,,,,,,,,,11344,11344,11344,11344,11344,11344,11344,11344,11344,11344,11344,11344,11344,11344,11344,11344,11344,11344,11344,11344,11344,11344
ABCAPITAL,F&O OI,20476,20476,,,,,,,,,21073,21073,21073,21073,21073,21073,21073,21073,21073,21073,21073,21073,21073,21073,21073,21073,21073,21073,21073,21073,21073,21073
ABCAPITAL,CALL VOL,5368,2027,,,,,,,,,5368,5368,5368,5368,5368,5368,5368,5368,5368,5368,5368,5368,5368,5368,5368,5368,5368,5368,5368,5368,5368,5368
ABCAPITAL,CALL OI,2441,2441,,,,,,,,,2770,2770,2770,2770,2770,2770,2770,2770,2770,2770,2770,2770,2770,2770,2770,2770,2770,2770,2770,2770,2770,2770
ABCAPITAL,PUT VOL,3072,1125,,,,,,,,,3072,3072,3072,3072,3072,3072,3072,3072,3072,3072,3072,3072,3072,3072,3072,3072,3072,3072,3072,3072,3072,3072
ABCAPITAL,PUT OI,3626,3626,,,,,,,,,3686,3686,3686,3686,3686,3686,3686,3686,3686,3686,3686,3686,3686,3686,3686,3686,3686,3686,3686,3686,3686,3686
ADANIENSOL,PRICE,1373.0,1391.9,,,,,1373.1,1373.03,1399.87,1380.4,1373.0,1373.0,1373.0,1373.0,1373.0,1373.0,1373.0,1373.0,1373.0,1373.0,1373.0,1373.0,1373.0,1373.0,1373.0,1373.0,1373.0,1373.0,1373.0,1373.0,1373.0,1373.0
ADANIENSOL,VWAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIENSOL,CASH VOL,1154404,1412618,364450,44.53,43.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIENSOL,F&O VOL,12513,18818,,,,,,,,,12513,12513,12513,12513,12513,12513,12513,12513,12513,12513,12513,12513,12513,12513,12513,12513,12513,12513,12513,12513,12513,12513
ADANIENSOL,F&O OI,54910,54910,,,,,,,,,54935,54935,54935,54935,54935,54935,54935,54935,54935,54935,54935,54935,54935,54935,54935,54935,54935,54935,54935,54935,54935,54935
ADANIENSOL,CALL VOL,4748,6418,,,,,,,,,4748,4748,4748,4748,4748,4748,4748,4748,4748,4748,4748,4748,4748,4748,4748,4748,4748,4748,4748,4748,4748,4748
ADANIENSOL,CALL OI,4674,4674,,,,,,,,,5032,5032,5032,5032,5032,5032,5032,5032,5032,5032,5032,5032,5032,5032,5032,5032,5032,5032,5032,5032,5032,5032
ADANIENSOL,PUT VOL,2296,4686,,,,,,,,,2296,2296,2296,2296,2296,2296,2296,2296,2296,2296,2296,2296,2296,2296,2296,2296,2296,2296,2296,2296,2296,2296
ADANIENSOL,PUT OI,3786,3786,,,,,,,,,3682,3682,3682,3682,3682,3682,3682,3682,3682,3682,3682,3682,3682,3682,3682,3682,3682,3682,3682,3682,3682,3682
ADANIENT,PRICE,3060.0,3077.2,,,,,3050.67,3032.0,2924.58,2897.75,3060.0,3060.0,3060.0,3060.0,3060.0,3060.0,3060.0,3060.0,3060.0,3060.0,3060.0,3060.0,3060.0,3060.0,3060.0,3060.0,3060.0,3060.0,3060.0,3060.0,3060.0,3060.0
ADANIENT,VWAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIENT,CASH VOL,1815342,1716315,518599,47.55,39.05,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIENT,F&O VOL,80845,94517,,,,,,,,,80845,80845,80845,80845,80845,80845,80845,80845,80845,80845,80845,80845,80845,80845,80845,80845,80845,80845,80845,80845,80845,80845
ADANIENT,F&O OI,98254,98254,,,,,,,,,96804,96804,96804,96804,96804,96804,96804,96804,96804,96804,96804,96804,96804,96804,96804,96804,96804,96804,96804,96804,96804,96804
ADANIENT,CALL VOL,38518,39693,,,,,,,,,38518,38518,38518,38518,38518,38518,38518,38518,38518,38518,38518,38518,38518,38518,38518,38518,38518,38518,38518,38518,38518,38518
ADANIENT,CALL OI,21539,21539,,,,,,,,,21012,21012,21012,21012,21012,21012,21012,21012,21012,21012,21012,21012,21012,21012,21012,21012,21012,21012,21012,21012,21012,21012
ADANIENT,PUT VOL,31378,37981,,,,,,,,,31378,31378,31378,31378,31378,31378,31378,31378,31378,31378,31378,31378,31378,31378,31378,31378,31378,31378,31378,31378,31378,31378
ADANIENT,PUT OI,14925,14925,,,,,,,,,13640,13640,13640,13640,13640,13640,13640,13640,13640,13640,13640,13640,13640,13640,13640,13640,13640,13640,13640,13640,13640,13640
ADANIGREEN,PRICE,1281.3,1299.1,,,,,1287.8,1283.47,1291.98,1273.35,1281.0,1281.0,1281.0,1281.0,1281.0,1281.0,1281.0,1281.0,1281.0,1281.0,1281.0,1281.0,1281.0,1281.0,1281.0,1281.0,1281.0,1281.0,1281.0,1281.0,1281.0,1281.0
ADANIGREEN,VWAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIGREEN,CASH VOL,997068,1163355,260943,37.35,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIGREEN,F&O VOL,15917,17445,,,,,,,,,15917,15917,15917,15917,15917,15917,15917,15917,15917,15917,15917,15917,15917,15917,15917,15917,15917,15917,15917,15917,15917,15917
ADANIGREEN,F&O OI,57536,57536,,,,,,,,,57513,57513,57513,57513,57513,57513,57513,57513,57513,57513,57513,57513,57513,57513,57513,57513,57513,57513,57513,57513,57513,57513
ADANIGREEN,CALL VOL,7394,7101,,,,,,,,,7394,7394,7394,7394,7394,7394,7394,7394,7394,7394,7394,7394,7394,7394,7394,7394,7394,7394,7394,7394,7394,7394
ADANIGREEN,CALL OI,5657,5657,,,,,,,,,5848,5848,5848,5848,5848,5848,5848,5848,5848,5848,5848,5848,5848,5848,5848,5848,5848,5848,5848,5848,5848,5848
ADANIGREEN,PUT VOL,4205,5589,,,,,,,,,4205,4205,4205,4205,4205,4205,4205,4205,4205,4205,4205,4205,4205,4205,4205,4205,4205,4205,4205,4205,4205,4205
ADANIGREEN,PUT OI,4347,4347,,,,,,,,,4319,4319,4319,4319,4319,4319,4319,4319,4319,4319,4319,4319,4319,4319,4319,4319,4319,4319,4319,4319,4319,4319
ADANIPORTS,PRICE,1764.6,1768.0,,,,,1763.52,1761.35,1696.37,1674.5,1764.0,1764.0,1764.0,1764.0,1764.0,1764.0,1764.0,1764.0,1764.0,1764.0,1764.0,1764.0,1764.0,1764.0,1764.0,1764.0,1764.0,1764.0,1764.0,1764.0,1764.0,1764.0
ADANIPORTS,VWAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIPORTS,CASH VOL,1674823,2777377,376513,61.38,64.38,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIPORTS,F&O VOL,38280,52655,,,,,,,,,38280,38280,38280,38280,38280,38280,38280,38280,38280,38280,38280,38280,38280,38280,38280,38280,38280,38280,38280,38280,38280,38280
ADANIPORTS,F&O OI,73704,73704,,,,,,,,,73397,73397,73397,73397,73397,73397,73397,73397,73397,73397,73397,73397,73397,73397,73397,73397,73397,73397,73397,73397,73397,73397
ADANIPORTS,CALL VOL,17966,23383,,,,,,,,,17966,17966,17966,17966,17966,17966,17966,17966,17966,17966,17966,17966,17966,17966,17966,17966,17966,17966,17966,17966,17966,17966
ADANIPORTS,CALL OI,15305,15305,,,,,,,,,15352,15352,15352,15352,15352,15352,15352,15352,15352,15352,15352,15352,15352,15352,15352,15352,15352,15352,15352,15352,15352,15352
ADANIPORTS,PUT VOL,12908,18427,,,,,,,,,12908,12908,12908,12908,12908,12908,12908,12908,12908,12908,12908,12908,12908,12908,12908,12908,12908,12908,12908,12908,12908,12908
ADANIPORTS,PUT OI,11340,11340,,,,,,,,,11326,11326,11326,11326,11326,11326,11326,11326,11326,11326,11326,11326,11326,11326,11326,11326,11326,11326,11326,11326,11326,11326
ADANIPOWER,PRICE,209.97,213.5,,,,,210.44,210.13,206.71,205.73,209.0,209.0,209.0,209.0,209.0,209.0,209.0,209.0,209.0,209.0,209.0,209.0,209.0,209.0,209.0,209.0,209.0,209.0,209.0,209.0,209.0,209.0
ADANIPOWER,VWAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIPOWER,CASH VOL,10271412,18719604,3040478,37.17,51.61,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIPOWER,F&O VOL,27434,23488,,,,,,,,,27434,27434,27434,27434,27434,27434,27434,27434,27434,27434,27434,27434,27434,27434,27434,27434,27434,27434,27434,27434,27434,27434
ADANIPOWER,F&O OI,83872,83872,,,,,,,,,83451,83451,83451,83451,83451,83451,83451,83451,83451,83451,83451,83451,83451,83451,83451,83451,83451,83451,83451,83451,83451,83451
ADANIPOWER,CALL VOL,13483,10870,,,,,,,,,13483,13483,13483,13483,13483,13483,13483,13483,13483,13483,13483,13483,13483,13483,13483,13483,13483,13483,13483,13483,13483,13483
ADANIPOWER,CALL OI,14495,14495,,,,,,,,,14482,14482,14482,14482,14482,14482,14482,14482,14482,14482,14482,14482,14482,14482,14482,14482,14482,14482,14482,14482,14482,14482
ADANIPOWER,PUT VOL,7770,7410,,,,,,,,,7770,7770,7770,7770,7770,7770,7770,7770,7770,7770,7770,7770,7770,7770,7770,7770,7770,7770,7770,7770,7770,7770
ADANIPOWER,PUT OI,10054,10054,,,,,,,,,9839,9839,9839,9839,9839,9839,9839,9839,9839,9839,9839,9839,9839,9839,9839,9839,9839,9839,9839,9839,9839,9839
ALKEM,PRICE,5087.5,5138.0,,,,,5089.5,5088.17,5209.75,5196.58,5087.0,5087.0,5087.0,5087.0,5087.0,5087.0,5087.0,5087.0,5087.0,5087.0,5087.0,5087.0,5087.0,5087.0,5087.0,5087.0,5087.0,5087.0,5087.0,5087.0,5087.0,5087.0
ALKEM,VWAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALKEM,CASH VOL,238760,41390,34516,78.42,63.22,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALKEM,F&O VOL,4020,3425,,,,,,,,,4020,4020,4020,4020,4020,4020,4020,4020,4020,4020,4020,4020,4020,4020,4020,4020,4020,4020,4020,4020,4020,4020
ALKEM,F&O OI,18934,18934,,,,,,,,,19287,19287,19287,19287,19287,19287,19287,19287,19287,19287,19287,19287,19287,19287,19287,19287,19287,19287,19287,19287,19287,19287
ALKEM,CALL VOL,1352,1372,,,,,,,,,1352,1352,1352,1352,1352,1352,1352,1352,1352,1352,1352,1352,1352,1352,1352,1352,1352,1352,1352,1352,1352,1352
ALKEM,CALL OI,1681,1681,,,,,,,,,1814,1814,1814,1814,1814,1814,1814,1814,1814,1814,1814,1814,1814,1814,1814,1814,1814,1814,1814,1814,1814,1814
ALKEM,PUT VOL,755,746,,,,,,,,,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755
ALKEM,PUT OI,1913,1913,,,,,,,,,1947,1947,1947,1947,1947,1947,1947,1947,1947,1947,1947,1947,1947,1947,1947,1947,1947,1947,1947,1947,1947,1947
AMBER,PRICE,7245.0,7280.0,,,,,7227.75,7193.25,7450.25,7402.75,7245.0,7245.0,7245.0,7245.0,7245.0,7245.0,7245.0,7245.0,7245.0,7245.0,7245.0,7245.0,7245.0,7245.0,7245.0,7245.0,7245.0,7245.0,7245.0,7245.0,7245.0,7245.0
AMBER,VWAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMBER,CASH VOL,111991,96213,29422,36.22,31.67,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMBER,F&O VOL,13409,14148,,,,,,,,,13409,13409,13409,13409,13409,13409,13409,13409,13409,13409,13409,13409,13409,13409,13409,13409,13409,13409,13409,13409,13409,13409
AMBER,F&O OI,28172,28172,,,,,,,,,27806,27806,27806,27806,27806,27806,27806,27806,27806,27806,27806,27806,27806,27806,27806,27806,27806,27806,27806,27806,27806,27806
AMBER,CALL VOL,4395,4375,,,,,,,,,4395,4395,4395,4395,4395,4395,4395,4395,4395,4395,4395,4395,4395,4395,4395,4395,4395,4395,4395,4395,4395,4395
AMBER,CALL OI,5249,5249,,,,,,,,,5562,5562,5562,5562,5562,5562,5562,5562,5562,5562,5562,5562,5562,5562,5562,5562,5562,5562,5562,5562,5562,5562
AMBER,PUT VOL,4053,5978,,,,,,,,,4053,4053,4053,4053,4053,4053,4053,4053,4053,4053,4053,4053,4053,4053,4053,4053,4053,4053,4053,4053,4053,4053
AMBER,PUT OI,5142,5142,,,,,,,,,4793,4793,4793,4793,4793,4793,4793,4793,4793,4793,4793,4793,4793,4793,4793,4793,4793,4793,4793,4793,4793,4793
AMBUJACEM,PRICE,391.85,395.6,,,,,391.43,390.6,403.88,401.62,391.0,391.0,391.0,391.0,391.0,391.0,391.0,391.0,391.0,391.0,391.0,391.0,391.0,391.0,391.0,391.0,391.0,391.0,391.0,391.0,391.0,391.0
AMBUJACEM,VWAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMBUJACEM,CASH VOL,1311052,1427859,271839,38.73,49.88,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMBUJACEM,F&O VOL,15383,6699,,,,,,,,,15383,15383,15383,15383,15383,15383,15383,15383,15383,15383,15383,15383,15383,15383,15383,15383,15383,15383,15383,15383,15383,15383
AMBUJACEM,F&O OI,100191,100191,,,,,,,,,100791,100791,100791,100791,100791,100791,100791,100791,100791,100791,100791,100791,100791,100791,100791,100791,100791,100791,100791,100791,100791,100791
AMBUJACEM,CALL VOL,6640,3012,,,,,,,,,6640,6640,6640,6640,6640,6640,6640,6640,6640,6640,6640,6640,6640,6640,6640,6640,6640,6640,6640,6640,6640,6640
AMBUJACEM,CALL OI,6488,6488,,,,,,,,,6557,6557,6557,6557,6557,6557,6557,6557,6557,6557,6557,6557,6557,6557,6557,6557,6557,6557,6557,6557,6557,6557
AMBUJACEM,PUT VOL,2753,1049,,,,,,,,,2753,2753,2753,2753,2753,2753,2753,2753,2753,2753,2753,2753,2753,2753,2753,2753,2753,2753,2753,2753,2753,2753
AMBUJACEM,PUT OI,4147,4147,,,,,,,,,4224,4224,4224,4224,4224,4224,4224,4224,4224,4224,4224,4224,4224,4224,4224,4224,4224,4224,4224,4224,4224,4224
ANGELONE,PRICE,305.0,297.3,,,,,302.74,298.23,297.13,291.8,305.0,305.0,305.0,305.0,305.0,305.0,305.0,305.0,305.0,305.0,305.0,305.0,305.0,305.0,305.0,305.0,305.0,305.0,305.0,305.0,305.0,305.0
ANGELONE,VWAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANGELONE,CASH VOL,5942668,2559910,2966785,36.56,36.63,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANGELONE,F&O VOL,33125,10090,,,,,,,,,33125,33125,33125,33125,33125,33125,33125,33125,33125,33125,33125,33125,33125,33125,33125,33125,33125,33125,33125,33125,33125,33125
ANGELONE,F&O OI,29654,29654,,,,,,,,,29940,29940,29940,29940,29940,29940,29940,29940,29940,29940,29940,29940,29940,29940,29940,29940,29940,29940,29940,29940,29940,29940
ANGELONE,CALL VOL,17025,5375,,,,,,,,,17025,17025,17025,17025,17025,17025,17025,17025,17025,17025,17025,17025,17025,17025,17025,17025,17025,17025,17025,17025,17025,17025
ANGELONE,CALL OI,8797,8797,,,,,,,,,8662,8662,8662,8662,8662,8662,8662,8662,8662,8662,8662,8662,8662,8662,8662,8662,8662,8662,8662,8662,8662,8662
ANGELONE,PUT VOL,6362,2585,,,,,,,,,6362,6362,6362,6362,6362,6362,6362,6362,6362,6362,6362,6362,6362,6362,6362,6362,6362,6362,6362,6362,6362,6362
ANGELONE,PUT OI,4025,4025,,,,,,,,,4460,4460,4460,4460,4460,4460,4460,4460,4460,4460,4460,4460,4460,4460,4460,4460,4460,4460,4460,4460,4460,4460
APLAPOLLO,PRICE,2153.5,2194.8,,,,,2150.0,2143.0,2236.25,2208.75,2153.0,2153.0,2153.0,2153.0,2153.0,2153.0,2153.0,2153.0,2153.0,2153.0,2153.0,2153.0,2153.0,2153.0,2153.0,2153.0,2153.0,2153.0,2153.0,2153.0,2153.0,2153.0
APLAPOLLO,VWAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APLAPOLLO,CASH VOL,591497,292273,147089,45.68,52.44,,,,,,,,,,,,,,,,,,,,,,,,,,,
APLAPOLLO,F&O VOL,10502,4777,,,,,,,,,10502,10502,10502,10502,10502,10502,10502,10502,10502,10502,10502,10502,10502,10502,10502,10502,10502,10502,10502,10502,10502,10502
APLAPOLLO,F&O OI,47407,47407,,,,,,,,,48585,48585,48585,48585,48585,48585,48585,48585,48585,48585,48585,48585,48585,48585,48585,48585,48585,48585,48585,48585,48585,48585
APLAPOLLO,CALL VOL,3959,1508,,,,,,,,,3959,3959,3959,3959,3959,3959,3959,3959,3959,3959,3959,3959,3959,3959,3959,3959,3959,3959,3959,3959,3959,3959
APLAPOLLO,CALL OI,3898,3898,,,,,,,,,4341,4341,4341,4341,4341,4341,4341,4341,4341,4341,4341,4341,4341,4341,4341,4341,4341,4341,4341,4341,4341,4341
APLAPOLLO,PUT VOL,2062,914,,,,,,,,,2062,2062,2062,2062,2062,2062,2062,2062,2062,2062,2062,2062,2062,2062,2062,2062,2062,2062,2062,2062,2062,2062
APLAPOLLO,PUT OI,3101,3101,,,,,,,,,3176,3176,3176,3176,3176,3176,3176,3176,3176,3176,3176,3176,3176,3176,3176,3176,3176,3176,3176,3176,3176,3176
APOLLOHOSP,PRICE,8836.0,8900.0,,,,,8878.0,8850.0,8712.75,8670.92,8836.0,8836.0,8836.0,8836.0,8836.0,8836.0,8836.0,8836.0,8836.0,8836.0,8836.0,8836.0,8836.0,8836.0,8836.0,8836.0,8836.0,8836.0,8836.0,8836.0,8836.0,8836.0
APOLLOHOSP,VWAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APOLLOHOSP,CASH VOL,207930,329159,48524,61.09,64.29,,,,,,,,,,,,,,,,,,,,,,,,,,,
APOLLOHOSP,F&O VOL,24609,28693,,,,,,,,,24609,24609,24609,24609,24609,24609,24609,24609,24609,24609,24609,24609,24609,24609,24609,24609,24609,24609,24609,24609,24609,24609
APOLLOHOSP,F&O OI,39475,39475,,,,,,,,,39043,39043,39043,39043,39043,39043,39043,39043,39043,39043,39043,39043,39043,39043,39043,39043,39043,39043,39043,39043,39043,39043
APOLLOHOSP,CALL VOL,13500,12987,,,,,,,,,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500
APOLLOHOSP,CALL OI,7620,7620,,,,,,,,,7436,7436,7436,7436,7436,7436,7436,7436,7436,7436,7436,7436,7436,7436,7436,7436,7436,7436,7436,7436,7436,7436
APOLLOHOSP,PUT VOL,7830,8622,,,,,,,,,7830,7830,7830,7830,7830,7830,7830,7830,7830,7830,7830,7830,7830,7830,7830,7830,7830,7830,7830,7830,7830,7830
APOLLOHOSP,PUT OI,5856,5856,,,,,,,,,5650,5650,5650,5650,5650,5650,5650,5650,5650,5650,5650,5650,5650,5650,5650,5650,5650,5650,5650,5650,5650,5650
ASHOKLEY,PRICE,163.75,166.12,,,,,163.34,162.52,169.16,169.05,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0
ASHOKLEY,VWAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASHOKLEY,CASH VOL,19044403,16214508,2667126,48.72,49.56,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASHOKLEY,F&O VOL,39664,29818,,,,,,,,,39664,39664,39664,39664,39664,39664,39664,39664,39664,39664,39664,39664,39664,39664,39664,39664,39664,39664,39664,39664,39664,39664
ASHOKLEY,F&O OI,58110,58110,,,,,,,,,58130,58130,58130,58130,58130,58130,58130,58130,58130,58130,58130,58130,58130,58130,58130,58130,58130,58130,58130,58130,58130,58130
ASHOKLEY,CALL VOL,15303,10088,,,,,,,,,15303,15303,15303,15303,15303,15303,15303,15303,15303,15303,15303,15303,15303,15303,15303,15303,15303,15303,15303,15303,15303,15303
ASHOKLEY,CALL OI,6099,6099,,,,,,,,,6498,6498,6498,6498,6498,6498,6498,6498,6498,6498,6498,6498,6498,6498,6498,6498,6498,6498,6498,6498,6498,6498
ASHOKLEY,PUT VOL,10627,8413,,,,,,,,,10627,10627,10627,10627,10627,10627,10627,10627,10627,10627,10627,10627,10627,10627,10627,10627,10627,10627,10627,10627,10627,10627
ASHOKLEY,PUT OI,8053,8053,,,,,,,,,8210,8210,8210,8210,8210,8210,8210,8210,8210,8210,8210,8210,8210,8210,8210,8210,8210,8210,8210,8210,8210,8210
ASIANPAINT,PRICE,2472.5,2498.1,,,,,2467.55,2457.65,2532.3,2528.97,2472.0,2472.0,2472.0,2472.0,2472.0,2472.0,2472.0,2472.0,2472.0,2472.0,2472.0,2472.0,2472.0,2472.0,2472.0,2472.0,2472.0,2472.0,2472.0,2472.0,2472.0,2472.0
ASIANPAINT,VWAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASIANPAINT,CASH VOL,653006,549332,211432,54.05,70.29,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASIANPAINT,F&O VOL,33549,16885,,,,,,,,,33549,33549,33549,33549,33549,33549,33549,33549,33549,33549,33549,33549,33549,33549,33549,33549,33549,33549,33549,33549,33549,33549
ASIANPAINT,F&O OI,64837,64837,,,,,,,,,65258,65258,65258,65258,65258,65258,65258,65258,65258,65258,65258,65258,65258,65258,65258,65258,65258,65258,65258,65258,65258,65258
ASIANPAINT,CALL VOL,10738,4713,,,,,,,,,10738,10738,10738,10738,10738,10738,10738,10738,10738,10738,10738,10738,10738,10738,10738,10738,10738,10738,10738,10738,10738,10738
ASIANPAINT,CALL OI,3810,3810,,,,,,,,,5083,5083,5083,5083,5083,5083,5083,5083,5083,5083,5083,5083,5083,5083,5083,5083,5083,5083,5083,5083,5083,5083
ASIANPAINT,PUT VOL,11498,5782,,,,,,,,,11498,11498,11498,11498,11498,11498,11498,11498,11498,11498,11498,11498,11498,11498,11498,11498,11498,11498,11498,11498,11498,11498
ASIANPAINT,PUT OI,8011,8011,,,,,,,,,7796,7796,7796,7796,7796,7796,7796,7796,7796,7796,7796,7796,7796,7796,7796,7796,7796,7796,7796,7796,7796,7796
ASTRAL,PRICE,1411.4,1459.0,,,,,1429.25,1417.35,1496.55,1494.12,1411.0,1411.0,1411.0,1411.0,1411.0,1411.0,1411.0,1411.0,1411.0,1411.0,1411.0,1411.0,1411.0,1411.0,1411.0,1411.0,1411.0,1411.0,1411.0,1411.0,1411.0,1411.0
ASTRAL,VWAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTRAL,CASH VOL,872167,914375,261364,60.09,62.33,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTRAL,F&O VOL,19893,12693,,,,,,,,,19893,19893,19893,19893,19893,19893,19893,19893,19893,19893,19893,19893,19893,19893,19893,19893,19893,19893,19893,19893,19893,19893
ASTRAL,F&O OI,24614,24614,,,,,,,,,27780,27780,27780,27780,27780,27780,27780,27780,27780,27780,27780,27780,27780,27780,27780,27780,27780,27780,27780,27780,27780,27780
ASTRAL,CALL VOL,6367,3408,,,,,,,,,6367,6367,6367,6367,6367,6367,6367,6367,6367,6367,6367,6367,6367,6367,6367,6367,6367,6367,6367,6367,6367,6367
