Symbol,Metric,DelivRatio,PrevDayRatio,PrevLastHrRatio,10:40
TCS,CASH VOL,1.282,1.355,0.265,0.231
TCS,FUT VOL,,,,
TCS,FUT OI,,1.014,,1.014
TCS,CALL VOL,,,,10156
TCS,CALL OI,,,,18002
TCS,PUT VOL,,,,12277
TCS,PUT OI,,,,14942
TECHM,CASH VOL,0.96,0.712,0.368,0.242
TECHM,FUT VOL,,,,
TECHM,FUT OI,,1.02,,1.02
TECHM,CALL VOL,,,,3167
TECHM,CALL OI,,,,4056
TECHM,PUT VOL,,,,4537
TECHM,PUT OI,,,,5030
TIINDIA,CASH VOL,1.212,0.823,0.318,0.132
TIINDIA,FUT VOL,,,,
TIINDIA,FUT OI,,1.007,,1.007
TIINDIA,CALL VOL,,,,599
TIINDIA,CALL OI,,,,2153
TIINDIA,PUT VOL,,,,257
TIINDIA,PUT OI,,,,1859
TITAN,CASH VOL,1.295,0.544,0.277,0.223
TITAN,FUT VOL,,,,
TITAN,FUT OI,,1.009,,1.009
TITAN,CALL VOL,,,,3323
TITAN,CALL OI,,,,10808
TITAN,PUT VOL,,,,3461
TITAN,PUT OI,,,,9125
TMPV,CASH VOL,1.001,0.772,0.286,0.244
TMPV,FUT VOL,,,,
TMPV,FUT OI,,1.013,,1.013
TMPV,CALL VOL,,,,3400
TMPV,CALL OI,,,,14754
TMPV,PUT VOL,,,,1795
TMPV,PUT OI,,,,15613
TORNTPHARM,CASH VOL,1.225,0.982,0.374,0.218
TORNTPHARM,FUT VOL,,,,
TORNTPHARM,FUT OI,,1.005,,1.005
TORNTPHARM,CALL VOL,,,,1827
TORNTPHARM,CALL OI,,,,3341
TORNTPHARM,PUT VOL,,,,451
TORNTPHARM,PUT OI,,,,2591
TRENT,CASH VOL,0.787,1.108,0.244,0.397
TRENT,FUT VOL,,,,
TRENT,FUT OI,,1.015,,1.015
TRENT,CALL VOL,,,,4386
TRENT,CALL OI,,,,10307
TRENT,PUT VOL,,,,2365
TRENT,PUT OI,,,,6328
TVSMOTOR,CASH VOL,0.826,0.584,0.347,0.141
TVSMOTOR,FUT VOL,,,,
TVSMOTOR,FUT OI,,1.003,,1.003
TVSMOTOR,CALL VOL,,,,1849
TVSMOTOR,CALL OI,,,,5999
TVSMOTOR,PUT VOL,,,,1263
TVSMOTOR,PUT OI,,,,6596
ULTRACEMCO,CASH VOL,1.184,1.134,0.58,0.107
ULTRACEMCO,FUT VOL,,,,
ULTRACEMCO,FUT OI,,1.009,,1.009
ULTRACEMCO,CALL VOL,,,,1749
ULTRACEMCO,CALL OI,,,,1798
ULTRACEMCO,PUT VOL,,,,1472
ULTRACEMCO,PUT OI,,,,3320
UNIONBANK,CASH VOL,0.97,0.579,0.315,0.282
UNIONBANK,FUT VOL,,,,
UNIONBANK,FUT OI,,1.017,,1.017
UNIONBANK,CALL VOL,,,,1619
UNIONBANK,CALL OI,,,,4134
UNIONBANK,PUT VOL,,,,1151
UNIONBANK,PUT OI,,,,5644
UNITDSPR,CASH VOL,0.957,0.513,0.44,0.163
UNITDSPR,FUT VOL,,,,
UNITDSPR,FUT OI,,1.005,,1.005
UNITDSPR,CALL VOL,,,,490
UNITDSPR,CALL OI,,,,2604
UNITDSPR,PUT VOL,,,,284
UNITDSPR,PUT OI,,,,2236
UNOMINDA,CASH VOL,1.053,0.9,0.274,0.265
UNOMINDA,FUT VOL,,,,
UNOMINDA,FUT OI,,1.02,,1.02
UNOMINDA,CALL VOL,,,,1004
UNOMINDA,CALL OI,,,,2781
UNOMINDA,PUT VOL,,,,981
UNOMINDA,PUT OI,,,,1774
UPL,CASH VOL,1.034,1.052,0.502,0.066
UPL,FUT VOL,,,,
UPL,FUT OI,,1.005,,1.005
UPL,CALL VOL,,,,720
UPL,CALL OI,,,,4355
UPL,PUT VOL,,,,472
UPL,PUT OI,,,,4246
VBL,CASH VOL,0.922,0.958,0.278,0.374
VBL,FUT VOL,,,,
VBL,FUT OI,,1.014,,1.014
VBL,CALL VOL,,,,2117
VBL,CALL OI,,,,14493
VBL,PUT VOL,,,,1113
VBL,PUT OI,,,,12203
VEDL,CASH VOL,0.948,1.008,0.262,0.305
VEDL,FUT VOL,,,,
VEDL,FUT OI,,1.014,,1.014
VEDL,CALL VOL,,,,4448
VEDL,CALL OI,,,,15705
VEDL,PUT VOL,,,,1576
VEDL,PUT OI,,,,15016
VMM,CASH VOL,1.372,1.452,0.385,0.549
VMM,FUT VOL,,,,
VMM,FUT OI,,1.02,,1.02
VMM,CALL VOL,,,,917
VMM,CALL OI,,,,3125
VMM,PUT VOL,,,,544
VMM,PUT OI,,,,3016
VOLTAS,CASH VOL,1.243,0.553,0.188,0.195
VOLTAS,FUT VOL,,,,
VOLTAS,FUT OI,,1.004,,1.004
VOLTAS,CALL VOL,,,,2171
VOLTAS,CALL OI,,,,7791
VOLTAS,PUT VOL,,,,1471
VOLTAS,PUT OI,,,,8154
WAAREEENER,CASH VOL,0.877,1.248,0.401,0.209
WAAREEENER,FUT VOL,,,,
WAAREEENER,FUT OI,,1.007,,1.007
WAAREEENER,CALL VOL,,,,3282
WAAREEENER,CALL OI,,,,8630
WAAREEENER,PUT VOL,,,,844
WAAREEENER,PUT OI,,,,6142
WIPRO,CASH VOL,0.987,1.059,0.269,0.428
WIPRO,FUT VOL,,,,
WIPRO,FUT OI,,1.036,,1.036
WIPRO,CALL VOL,,,,7186
WIPRO,CALL OI,,,,10623
WIPRO,PUT VOL,,,,4775
WIPRO,PUT OI,,,,10285
YESBANK,CASH VOL,1.08,0.553,0.289,0.286
YESBANK,FUT VOL,,,,
YESBANK,FUT OI,,1.002,,1.002
YESBANK,CALL VOL,,,,1260
YESBANK,CALL OI,,,,8106
YESBANK,PUT VOL,,,,400
YESBANK,PUT OI,,,,6434
ZYDUSLIFE,CASH VOL,0.853,0.537,0.464,0.313
ZYDUSLIFE,FUT VOL,,,,
ZYDUSLIFE,FUT OI,,1.02,,1.02
ZYDUSLIFE,CALL VOL,,,,1639
ZYDUSLIFE,CALL OI,,,,2027
ZYDUSLIFE,PUT VOL,,,,847
ZYDUSLIFE,PUT OI,,,,1881
