Symbol,Metric,DelivRatio,PrevDayRatio,PrevLastHrRatio,10:40
BOSCHLTD,FUT OI,,1.007,,1.007
BOSCHLTD,CALL VOL,,,,1669
BOSCHLTD,CALL OI,,,,2410
BOSCHLTD,PUT VOL,,,,624
BOSCHLTD,PUT OI,,,,2497
BPCL,CASH VOL,0.87,0.39,0.424,0.42
BPCL,FUT VOL,,,,
BPCL,FUT OI,,1.0,,1.0
BPCL,CALL VOL,,,,1162
BPCL,CALL OI,,,,3681
BPCL,PUT VOL,,,,921
BPCL,PUT OI,,,,3873
BRITANNIA,CASH VOL,1.303,1.196,0.553,0.345
BRITANNIA,FUT VOL,,,,
BRITANNIA,FUT OI,,1.052,,1.052
BRITANNIA,CALL VOL,,,,1916
BRITANNIA,CALL OI,,,,1715
BRITANNIA,PUT VOL,,,,1798
BRITANNIA,PUT OI,,,,4874
BSE,CASH VOL,0.692,1.321,0.105,0.189
BSE,FUT VOL,,,,
BSE,FUT OI,,1.005,,1.005
BSE,CALL VOL,,,,33614
BSE,CALL OI,,,,39622
BSE,PUT VOL,,,,21546
BSE,PUT OI,,,,34955
CAMS,CASH VOL,0.734,0.356,0.243,0.291
CAMS,FUT VOL,,,,
CAMS,FUT OI,,1.003,,1.003
CAMS,CALL VOL,,,,514
CAMS,CALL OI,,,,2857
CAMS,PUT VOL,,,,401
CAMS,PUT OI,,,,2986
CANBK,CASH VOL,1.257,0.909,0.273,0.253
CANBK,FUT VOL,,,,
CANBK,FUT OI,,1.016,,1.016
CANBK,CALL VOL,,,,3117
CANBK,CALL OI,,,,7912
CANBK,PUT VOL,,,,1094
CANBK,PUT OI,,,,6731
CDSL,CASH VOL,0.844,1.212,0.159,1.295
CDSL,FUT VOL,,,,
CDSL,FUT OI,,1.025,,1.025
CDSL,CALL VOL,,,,29576
CDSL,CALL OI,,,,12972
CDSL,PUT VOL,,,,6892
CDSL,PUT OI,,,,7915
CGPOWER,CASH VOL,1.18,0.945,0.186,0.782
CGPOWER,FUT VOL,,,,
CGPOWER,FUT OI,,1.083,,1.083
CGPOWER,CALL VOL,,,,18682
CGPOWER,CALL OI,,,,7292
CGPOWER,PUT VOL,,,,4822
CGPOWER,PUT OI,,,,5276
CHOLAFIN,CASH VOL,1.118,0.84,0.32,0.205
CHOLAFIN,FUT VOL,,,,
CHOLAFIN,FUT OI,,1.008,,1.008
CHOLAFIN,CALL VOL,,,,289
CHOLAFIN,CALL OI,,,,1282
CHOLAFIN,PUT VOL,,,,757
CHOLAFIN,PUT OI,,,,2459
CIPLA,CASH VOL,0.976,2.412,0.198,0.07
CIPLA,FUT VOL,,,,
CIPLA,FUT OI,,1.002,,1.002
CIPLA,CALL VOL,,,,1274
CIPLA,CALL OI,,,,3447
CIPLA,PUT VOL,,,,694
CIPLA,PUT OI,,,,3685
COALINDIA,CASH VOL,1.555,0.401,0.381,0.794
COALINDIA,FUT VOL,,,,
COALINDIA,FUT OI,,1.01,,1.01
COALINDIA,CALL VOL,,,,16993
COALINDIA,CALL OI,,,,24753
COALINDIA,PUT VOL,,,,12410
COALINDIA,PUT OI,,,,15503
COCHINSHIP,CASH VOL,1.053,1.355,0.179,0.334
COCHINSHIP,FUT VOL,,,,
COCHINSHIP,FUT OI,,1.038,,1.038
COCHINSHIP,CALL VOL,,,,2819
COCHINSHIP,CALL OI,,,,5410
COCHINSHIP,PUT VOL,,,,856
COCHINSHIP,PUT OI,,,,2975
COFORGE,CASH VOL,0.873,0.584,0.247,0.299
COFORGE,FUT VOL,,,,
COFORGE,FUT OI,,1.004,,1.004
COFORGE,CALL VOL,,,,2743
COFORGE,CALL OI,,,,7546
COFORGE,PUT VOL,,,,2712
COFORGE,PUT OI,,,,6281
COLPAL,CASH VOL,1.123,1.662,0.239,0.114
COLPAL,FUT VOL,,,,
COLPAL,FUT OI,,1.006,,1.006
COLPAL,CALL VOL,,,,775
COLPAL,CALL OI,,,,4808
COLPAL,PUT VOL,,,,368
COLPAL,PUT OI,,,,5167
CONCOR,CASH VOL,1.265,2.234,0.289,0.235
CONCOR,FUT VOL,,,,
CONCOR,FUT OI,,1.002,,1.002
CONCOR,CALL VOL,,,,921
CONCOR,CALL OI,,,,3365
CONCOR,PUT VOL,,,,176
CONCOR,PUT OI,,,,2047
CROMPTON,CASH VOL,0.893,2.416,0.131,0.115
CROMPTON,FUT VOL,,,,
CROMPTON,FUT OI,,1.005,,1.005
CROMPTON,CALL VOL,,,,1151
CROMPTON,CALL OI,,,,6910
CROMPTON,PUT VOL,,,,550
CROMPTON,PUT OI,,,,5918
CUMMINSIND,CASH VOL,1.437,2.682,0.294,0.1
CUMMINSIND,FUT VOL,,,,
CUMMINSIND,FUT OI,,1.008,,1.008
CUMMINSIND,CALL VOL,,,,1152
CUMMINSIND,CALL OI,,,,5137
CUMMINSIND,PUT VOL,,,,557
CUMMINSIND,PUT OI,,,,5662
DABUR,CASH VOL,0.852,0.825,0.146,0.137
DABUR,FUT VOL,,,,
DABUR,FUT OI,,1.014,,1.014
DABUR,CALL VOL,,,,1580
DABUR,CALL OI,,,,6405
DABUR,PUT VOL,,,,815
DABUR,PUT OI,,,,6104
DALBHARAT,CASH VOL,1.198,1.373,0.496,0.36
DALBHARAT,FUT VOL,,,,
DALBHARAT,FUT OI,,,,
DALBHARAT,CALL VOL,,,,
DALBHARAT,CALL OI,,,,
DALBHARAT,PUT VOL,,,,
DALBHARAT,PUT OI,,,,
DELHIVERY,CASH VOL,1.123,0.765,0.262,0.108
DELHIVERY,FUT VOL,,,,
DELHIVERY,FUT OI,,0.998,,0.998
DELHIVERY,CALL VOL,,,,641
DELHIVERY,CALL OI,,,,2666
DELHIVERY,PUT VOL,,,,369
DELHIVERY,PUT OI,,,,2188
DIVISLAB,CASH VOL,0.949,0.503,0.251,0.285
DIVISLAB,FUT VOL,,,,
DIVISLAB,FUT OI,,1.026,,1.026
DIVISLAB,CALL VOL,,,,10881
DIVISLAB,CALL OI,,,,10414
DIVISLAB,PUT VOL,,,,4307
DIVISLAB,PUT OI,,,,7035
DIXON,CASH VOL,0.899,1.352,0.25,0.21
DIXON,FUT VOL,,,,
DIXON,FUT OI,,0.996,,0.996
DIXON,CALL VOL,,,,23735
DIXON,CALL OI,,,,29022
DIXON,PUT VOL,,,,8241
DIXON,PUT OI,,,,15850
DLF,CASH VOL,1.069,0.562,0.25,0.14
DLF,FUT VOL,,,,
DLF,FUT OI,,1.007,,1.007
DLF,CALL VOL,,,,2168
DLF,CALL OI,,,,6952
DLF,PUT VOL,,,,1529
DLF,PUT OI,,,,4838
DMART,CASH VOL,1.121,1.55,0.349,0.242
DMART,FUT VOL,,,,
DMART,FUT OI,,1.021,,1.021
DMART,CALL VOL,,,,2171
DMART,CALL OI,,,,5571
DMART,PUT VOL,,,,1518
DMART,PUT OI,,,,6257
DRREDDY,CASH VOL,1.042,1.68,0.288,0.32
DRREDDY,FUT VOL,,,,
DRREDDY,FUT OI,,1.007,,1.007
DRREDDY,CALL VOL,,,,2776
DRREDDY,CALL OI,,,,4891
DRREDDY,PUT VOL,,,,1536
DRREDDY,PUT OI,,,,4158
EICHERMOT,CASH VOL,1.25,1.127,0.298,0.127
EICHERMOT,FUT VOL,,,,
EICHERMOT,FUT OI,,1.011,,1.011
EICHERMOT,CALL VOL,,,,7469
EICHERMOT,CALL OI,,,,11613
EICHERMOT,PUT VOL,,,,3376
EICHERMOT,PUT OI,,,,12793
ETERNAL,CASH VOL,1.183,1.142,0.357,0.192
ETERNAL,FUT VOL,,,,
ETERNAL,FUT OI,,1.001,,1.001
ETERNAL,CALL VOL,,,,10775
ETERNAL,CALL OI,,,,17757
ETERNAL,PUT VOL,,,,5338
ETERNAL,PUT OI,,,,9661
FEDERALBNK,CASH VOL,1.391,0.616,0.22,0.319
FEDERALBNK,FUT VOL,,,,
FEDERALBNK,FUT OI,,1.02,,1.02
FEDERALBNK,CALL VOL,,,,5193
FEDERALBNK,CALL OI,,,,8201
FEDERALBNK,PUT VOL,,,,3076
FEDERALBNK,PUT OI,,,,5508
FORCEMOT,CASH VOL,0.952,0.704,0.237,0.27
FORCEMOT,FUT VOL,,,,
